serial number,author,title
1240,Screen Edge,Bukowski At Bellevue 1970
1241,Seigel Jerrold,Bohemian Paris: Culture Politics and the Boundaries of Bourgeois Life 1830-1930
1242,Selby Hubert Jr.,Last Exit To Brooklyn
1243,Serrano Janet,Gregory Corsos Bomb: A Response To Nuclear Anxiety
1244,Service Robert W.,Ballads of a Bohemian
1245,Shaffer Eric Paul,All Come To This: The Life And Works Of Lew Welch In The Context Of The Twentieth Century
1246,Sherlock John compiler,Gary Snyder: A Bibliography Of Works By And About Gary Snyder
1247,Shifreen Lawrence J. ed.,Henry Miller : A Bibliography of Primary Sources
1248,Shifreen Lawrence J. ed.,Henry Miller: A Bibliography Of Secondary Sources
1249,Shinder Jason editor,Poem that Changed America : Howl Fifty Years Later
1250,Shoaf Eric C,William S. Burroughs: A Collectors Guide
1251,Silesky Barry,Ferlinghetti the artist in his time
1252,Simpson Louis,Revolution In Taste: Studies Of... Allen Ginsberg...
1253,Silverberg Ira editor,Everything Is Permitted: The Making Of Naked Lunch
1254,Sinclair Iain,American Smoke: Journeys To The End Of The Light
1255,Sirius R.U.,21st Century Revolutionary: R.U. Sirius 1984-1998
1256,Skau Michael,Clown in a Grave : Complexities and Tensions in the Works of Gregory Corso
1257,Skau Michael,Constantly Eisking Absurdity : The Writings of Lawrence Ferlinghetti
1258,Skerl Jennie ed.,William S. Burroughs at the Front : Critical Reception 1959-1989
1259,Smith Alson J.,Chicagos Left Bank
1260,Smith Christopher R.,Eastern Philosophy And Jack Kerouacs Postmodern Poetry
1261,Smith Joan Jobe and Marilyn Johnson eds.,Bukowski Review
1262,Smith Larry,Lawrence Ferlinghetti: Poet-At-Large
1263,Snyder Gary,Axe Handles
1264,Snyder Gary,The Back Country
1265,Snyder Gary,Back On The Fire : Essays
1266,Snyder Gary,Danger on Peaks: Poems
1267,Snyder Gary,Distant Neighbors: The Selected Letters Of Wendell Berry And Gary Snyder
1268,Snyder Gary,Earth House Hold
1269,Snyder Gary,Etiquette Of Freedom: Gary Snyder Jim Harrison and The Practice Of The Wild
1270,Snyder Gary,Gary Snyder Reader: Prose Poetry and Translations 1952-1998
1271,Snyder Gary,Great Clod: Notes And Memoirs On Nature And History In East Asia
1272,Snyder Gary,He who hunted birds in his fatherâ€™s village : the dimensions of a Haida myth
1273,Snyder Gary,Left Out in the Rain: New Poems 1947-1985
1274,Snyder Gary,Look Out: A Selection of Writings
1275,Snyder Gary,Mountains and Rivers Without End
1276,Snyder Gary,Myths & Texts
1277,Snyder Gary,No Nature: New and Selected Poems
1278,Snyder Gary,Nobody Home: Writing Buddhism And Living In Places
1279,Snyder Gary,North Pacific Lands & Waters: A Further Six Sections
1280,Snyder Gary,Old Ways (The)
1281,Snyder Gary,On Bread & Poetry: A Panel Discussion With Gary Snyder Lew Welch & Philip Whalen
1282,Snyder Gary,Passage Through India
1283,Snyder Gary,Place in Space: Ethics Aesthetics and Watersheds: New and Selected Prose
1284,Snyder Gary,Practice of the Wild: Essays by Gary Snyder
1285,Snyder Gary,Real Work: Interviews & Talks 1964-1979
1286,Snyder Gary,Regarding Wave
1287,Snyder Gary,Riprap & Cold Mountain Poems
1288,Snyder Gary,Songs for Gaia
1289,Snyder Gary,This Present Moment: New Poems
1290,Snyder Gary,Turtle Island
1291,Snyder Gary,Turtle Island
1292,Snyder Robert,This Is Henry Henry Miller From Brooklyn: Conversations With The Author From The Henry Miller Odyssey
1293,Sobieszek Robert A.,Ports of Entry: William S. Burroughs and the Arts
1294,Solomon Carl,Emergency Messages : An Autobiographical Miscellany
1295,Solomon Carl,More Mishaps
1296,Sorel Edward,Mural at the Waverly Inn : a Poertrai of Greenwich Village Bohemia
1297,Sounes Howard,Bukowski in Pictures
1298,Sounes Howard,Charles Bukowski: Locked in the Arms of a Crazy Life: the Biography
1299,Spangler Jason Scott,From The Great Depression To The Grateful Dead: Cultural History And The Beat Generation
1300,Spedaliere Joseph A.,Visions Of Duluoz: A Study Of The Use Of Personae As A Means Of Self-Comprehension In The Four Lowell Novels Of Jack Kerouacs Duluoz Legend
1301,Spencer Sharon,Collage of Dreams: Writings of Anais Nin
1302,Stableford ed.,Dedalus Book of Decadence (Moral Ruins)
1303,Standish Craig Peter editor,Henry Miller: A Book Of Tributes 1931-1994
1304,Stansell Christine,American Moderns: Bohemian New York and the Creation of a New Century
1305,Stephens Robert Neilson,Tales From Bohemia
1306,Stephenson Gregory,Daybreak Boys: Essays on the Literature of the Beat Generation
1307,Sterritt David,Mad To Be Saved : The Beats The 50s and Films
1308,Sterritt David,Screening The Beats: Media Culture And The Beat Sensibility
1309,Steuding Bob,Gary Snyder
1310,Stevens Michael,Road to Interzone : Reading William S. Burroughs Reading
1311,Stevenson Elizabeth,American 1920s: Babbitts & Bohemians
1312,Stiles Bradley J.,Emersons Contemporaries And Kerouacs Crowd: A Problem Of Self Location
1313,Stokes Geoffrey ed.,Village Voice Anthology (1956-1980)
1314,Stonehill Judith,Greenwich Village: A Guide to Americas Legendary Left Bank
1315,Stonehill Judith editor,Greenwich Village Stories: A Collection Of Memories
1316,Stover Laren,Bohemian Manifesto: A Field Guide to Living on the Edge
1317,Strausbaugh John,Village: 400 Years Of Beats And Bohemians Radicals And Rogues A History Of Greenwich Village    
1318,Suiter John,Poets on the Peaks: Gary Snyder Philip Whalen & Jack Kerouac in the North Cascades
1319,Sukenick Ronald,Down and In: Life in the Underground
1320,Sutherland Daniel E.,Whistler: A Life For Arts Sake
1321,Swartz Omar,View from On the Road : the Rhetorical Vision of Jack Kerouac
1322,Swingrover E.A. editor,Counterculture Reader
1323,Talbot Ashleigh,Beat Speak: An Illustrated Beat Glossary Circa 1956-1959
1324,Thackeray William Makepeace,Students Quarter or Paris Five and Thirty Years Since
1325,Theado Matt ed.,The beats: a documentary volume
1326,Theado Matt ed.,Understanding Jack Kerouac
1327,Thimme David Gerhardt,Gary Snyders Idiosyncratic Buddhist Poetics And The Razoredge
