serial number,author,title
166,Bukowski Charles,Mockingbird Wish Me Luck
167,Bukowski Charles,Most Beautiful Woman in Town & Other Stories
168,Bukowski Charles,The Movie: Barfly
169,Bukowski Charles,Movie Critics
170,Bukowski Charles,New Poems : Book Three
171,Bukowski Charles,New Poems: Book Two
172,Bukowski Charles,New War
173,Bukowski Charles,Night Torn with Mad Footsteps : New Poems
174,Bukowski Charles,Notes of a Dirty Old Man
175,Bukowski Charles,Now
176,Bukowski Charles,On Cats
177,Bukowski Charles,On Love
178,Bukowski Charles,On Writing
179,Bukowski Charles,One Tough Mother
180,Bukowski Charles,Open All Night: New Poems
181,Bukowski Charles,People Look Like Flowers At Last
182,Bukowski Charles,Pink Silks
183,Bukowski Charles,Pleasures of the Damned : Poems 1951-1993
184,Bukowski Charles,Play the Piano Drunk Like a Percussion Instrument Until the Fingers Begin to Bleed a Bit
185,Bukowski Charles,Popcorn in the Dark
186,Bukowski Charles,Portions From A Wine-Stained Notebook: Uncollected Stories And Essays 1944-1990
187,Bukowski Charles,Post Office
188,Bukowski Charles,Post Office (Italian language 
189,Bukowski Charles,Pulp
190,Bukowski Charles,Reach For The Sun : Selected Letters 1978-1994 Volume 3
191,Bukowski Charles,Roominghouse Madrigals : Early Selected Poems 1946-1966
192,Bukowski Charles,Screams from the Balcony : Selected Letters 1960-1970
193,Bukowski Charles,Selected Letters Volume 1 : 1958-1965
194,Bukowski Charles,Selected Letters Volume 2 : 1965-1970
195,Bukowski Charles,Selected Letters Volume 3 : 1971-1986
196,Bukowski Charles,Selected Letters Volume 4 : 1987-1994
197,Bukowski Charles,Septuagenarian Stew: Stories & Poems
198,Bukowski Charles,Shakespeare Never Did This
199,Bukowski Charles,Sifting Through the Madness for the Word the Line the Way: New Poems
200,Bukowski Charles,Singer
201,Bukowski Charles,Slouching Toward Nirvana: New Poems
202,Bukowski Charles,South Of No North
203,Bukowski Charles,Sunlight Here I Am: Interviews & Encounters 1963-1993
204,Bukowski Charles,Tales Of Ordinary Madness
205,Bukowski Charles,Theres No Business
206,Bukowski Charles,Those Marvelous Lunches
207,Bukowski Charles, To Lean Back Into It
208,Bukowski Charles,Underwater Poetry Festival
209,Bukowski Charles,War All The Time: Poems 1981-1984
210,Bukowski Charles,We Aint Got No Money Honey But We Got Rain
211,Bukowski Charles,What Matters Most Is How Well You Walk Through The Fire
212,Bukowski Charles,Women
213,Bulbul Films,Factotum
214,Burgess Gelett,Bayside Bohemia
215,Burgess Gelett ed,Lark
216,Burke Flannery,From Greenwich Village To Taos
217,Burleigh Robert,Hit The Road Jack
218,Burroughs William S.,Adding Machine (The): Selected Essays
219,Burroughs William S.,Burroughs File (The)
220,Burroughs William S.,Burroughs: The Movie
221,Burroughs William S.,Call Me Burroughs
222,Burroughs William S.,Cat Inside
223,Burroughs William S.,Cities of the Red Night
224,Burroughs William S.,Conversations With William Burroughs
225,Burroughs William S.,Dead City Radio
226,Burroughs William S.,Everything lost : the Latin American notebook of William S. Burroughs
227,Burroughs William S.,Exterminator!
228,Burroughs William S.,Ghost of Chance
229,Burroughs William S.,Viking/Interzone
230,Odier Daniel,Job: Interviews with William S. Burroughs
231,Burroughs William S.,Junky
232,Burroughs William S.,Junky: Definitive Text Of Junk
233,Burroughs William S.,Junkys Christmas
234,Burroughs William S.,The last words of Dutch Schultz : a fiction in the form of a film script
235,Burroughs William S.,The last words of Dutch Schultz : a fiction in the form of a film script
236,Burroughs William S.,Last Words: The Final Journals Of William S. Burroughs
237,Burroughs William S.,Let Me Hang You
238,Burroughs William S.,Letters of William S. Burroughs: 1945-1959
239,Burroughs William S.,My Education: A Book of Dreams
240,Burroughs William S.,Naked Lunch
241,Burroughs William S.,Naked Lunch
242,Burroughs William S.,Nova Express
243,Burroughs William S.,Place of Dead Roads (The)
244,Burroughs William S.,Queer
245,Burroughs William S.,Queer
246,Burroughs William S.,Roosevelt After Inauguration
247,Burroughs William S.,Rub Out The Words : The Letters Of William S. Burroughs 1959-1974
248,Burroughs William S.,Soft Machine
249,Burroughs William S. and Gysin Brion,Spoken Word
250,Burroughs Wiiliam S. introduction only,Strange Amazing And Mysterious Places
251,Burroughs William S.,Taking Shots: The Photography Of Williams S. Burroughs
252,Burroughs William S.,Ticket That Exploded
253,Burroughs William S.,Western Lands
254,Burroughs William S.,Western Lands
255,Burroughs William S.,Word Virus: The William S. Burroughs Reader
256,Burroughs William S. and Ginsberg Allen,Yage Letters (The)
257,Burroughs William S.,You Cant Win
258,Burroughs William S. Jr.,Cursed From Birth : The Short Unhappy life of William S. Burroughs Jr.
259,Burroughs William S. Jr.,Speed/Kentucky Ham
260,C-SPAN,Writings of Jack Kerouac
261,Calhoun Ada,St. Marks Is Dead: The Many Lives Of Americas Hippest Street
262,Campbell James,Exiled in Paris
263,Campana Dino,Orphic Songs
264,Campbell James,This is the Beat Generation
265,Cannon Group,Barfly
266,Caponi Gena Dagel,Paul Bowles: Romantic Savage
267,Carco Francis,Last Bohemia: From Montmartre to the Quartier Latin
268,Carpenter Humphrey,Angry Young Men: A Literary Comedy of the 1950s
269,Carr Roy,The Hip: Hipsters Jazz And The Beat Generation
270,Carr Virgina Spencer,Paul Bowles : A Life
271,Carroll Jim,Basketball Diaries
272,Carroll Jim,Fear Of Dreaming: The Selected Poems Of Jim Carroll
273,Carroll Jim,Petting Zoo: A Novel
274,Cassady Carolyn,Heart Beat: My Life With Jack And Neal
275,Cassady Carolyn,Off the Road
276,Cassady Neal,Collected Letters 1944-1967
277,Cassady Neal,First Third (The)
278,Cassady Neal,Grace Beats Karma: Letters from Prison 1
279,Caveney Graham,Gentleman Junkie: Life & Legacy of William S. Burroughs
280,Caveney Graham,Screaming With Joy: The Life of Allen Ginsberg
281,Caveney Graham,Priest They Called Him: Life & Legacy of William S. Burroughs
282,Castaneda Carlos,Teachings of Don Juan
283,Chandarlapaty Raj,Beat Generation and Counterculture : Paul Bowles William S. Burroughs Jack Kerouac
284,Chapin Anna Alice,Greenwich Village
285,Charlson David Jon,Charles Bukowski: Autobiographer Gender Critic Iconoclast
286,Charlson David,Charles Bukowski: Autobiographer Gender Critic Iconoclast
287,Author; Charters Ann ed.,Beat Down To Your Soul
288,Charters Ann,Beats & Company : A Portrait of a Literary Generation
289,Charters Ann,Bibliography of works by Jack Kerouac (Jean Louis Lebris De Kerouac) 1939-1975
290,Charters Ann & Samuel,Brother Souls: John Clellon Holmes Jack Kerouac And The Beat Generation
291,Charters Ann,Kerouac: A Biography
292,Charters Ann,Kerouac: A Biography
293,Charters Ann ed.,Jack Kerouac: Selected Letters 1940-1956
294,Charters Ann ed.,Jack Kerouac: Selected Letters 1957-1969
295,Charters Ann & Samuel ed.,Literature And Its Writers
296,Charters Ann ed.,Portable Beat Reader
297,Charters Samuel,Some Poems/Poets: Studies In American Underground Poetry Since 1945
298,Cheney Anne,Millay in Greenwich Village
299,Cherkovski Neeli,Ferlinghetti: A Biography
300,Cherkovski Neeli,Hank: The Life of Charles Bukowski
301,Cherry Red Records,Cool Scene: Twelve New Ways To Fly (Cool Scene At Cafe Bizarre)
302,Cheuse Alan,Bohemians: John Reed and His Friends Who Shook the World
303,Christensen Mark,Acid Christ: Ken Kesey LSD And The Politics Of Ecstacy
304,Christopher Tom,Neal Cassady: A Biography
305,Christy Jim,Buk Book: Musings On Charles Bukowski
306,Christy Jim,Long Slow Death of Jack Kerouac
307,Churchill Allen,Improper Bohemians: a recreation of Gree...
308,Ciuraru Carmela editor,Beat Poets
309,Clark Joshua editor,French Quarter Fiction: The Newest Stories Of Americas Oldest Bohemia
310,Clark Joshua editor,French Quarter Fiction: The Newest Stories Of Americas Oldest Bohemia
311,Clark Tom,Edward Dorn: A World Of Difference
312,Clark Tom,Jack Kerouac: A Biography
313,Clark Tom,Jack Kerouac: A Biography
314,Clark Tom,Kerouacs Last Word: Jack Kerouac in Escapade
315,Clayton Douglas,Floyd Dell: The Life and Times of an American Rebel
316,Clébert Jean Paul,Paris Vagabond
317,Cline Lynn,Literary Pilgrims: The Santa Fe And Toas Writers Colonies 1917-1950
318,Collins Ronald K.L.,Mania: The Story Of The Outraged & Outrageous Lives That Launched A Cultural Revolution
319,Connelly Patrick J.,Ecopoetics Of Gary Snyder
320,Conners Peter,White Hand Society: The Psychedelic Partnership Of Timothy Leary & Allen Ginsberg
321,Cook Bruce,Beat Generation: Tumultuous 50s movement
322,Cook Bruce,Beat Generation: Tumultuous 50s movement
323,Coolidge Clark,Now Its Jazz: Writings on Kerouac & The Sounds
324,Corso Gregory,Accidental Biography: The Selected Letters Of Gregory Corso
325,Corso Gregory,American Express
326,Corso Gregory,Elegiac Feelings American
327,Corso Gregory,Gasoline
328,Corso Gregory,Happy Birthday of Death
329,Corso Gregory,Herald of the Autochthonic Spirit
330,Corso Gregory,Long Live Man
331,Corso Gregory,Mindfield: New and Selected Poems
332,Corso Gregory,Sarpedon: A Play By Gergory Corso
333,Cottom Daniel,International Bohemia: Scenes Of Nineteenth-Century Life
334,Cottrell Robert C.,Sex Drugs And Rock N Roll: The Rise Of Americas 1960s Counterculture
335,Cowley Malcolm,Exiles Return
336,Cox Devon,Street Of Wonderful Possibilities: Whistler Wilde & Sargent In Tite Street
337,Cronenberg David,Naked Lunch
338,Cross Robert,Henry Miller: The Paris Years
339,Cusimano M. (Mick),Toasting Kerouac: Corporation for the Celebration of Jack Kerouac in Lowell presents Lawrence Ferlinghetti & Herbert Huncke to be held at Smith-Baker Center Lowell Saturday March 21 1987
340,Dale Rick,Beat Handbook : 100 Days of Kerouactions
341,Darnton Robert,Corpus of Clandestine Literature in France 1769-1789
342,Darnton Robert,Devil in the Holy Water or the Art of Slander from Louis XIV to Napolean
343,Darnton Robert,Forbidden Best-Sellers of Pre-Revolutionary France
344,Darnton Robert,Forbidden Best-Sellers of Pre-Revolutionary France
345,Darnton Robert,Literary Underground of the Old Regime
346,Darnton Robert,Poetry And The Police: Communication Networks In Eighteenth-Century Paris
347,Daugherty Francis Leo,Henry Miller And The Heterocosm: The General And Applied Literary Theory Of An Merican Anti-Romantic
348,Davis Stephen,William Burroughs/Local Stop On The Nova Express
349,De St. Jorre John,Venus Bound: The Erotic Voyage of the Olympia Press...
350,Dearborn Mary V.,Happiest Man Alive: Biography of Henry Miller
351,Dearborn Mary V.,Queen of Bohemia: The Life of Louise Bryant
352,Décharné Max,Straight From The Fridge Dad: A Dictionary Of Hipster Slang
353,Decker James M.,Spiral Form And Henry Millers Anecdotal Life
354,Dell Floyd,Floyd Dell: Essays from the Friday Literary Review 1909-1913
355,Dell Floyd,Homecoming: An Autobiography
356,Dell Floyd,Janet March
357,Dell Floyd,King Arthurs Socks And Other Village Plays
358,Dell Floyd,Love in Greenwich Village
359,Dell Floyd,Old Mans Folly (An)
360,Dell Floyd,This Mad Ideal
361,Dell Floyd,Runaway: A Novel
362,Dell Floyd,Were You Ever a Child?
363,Di Prima Diane,Dinners and Nightmares
364,Di Prima Diane & Jones LeRoi,Floating Bear: A Newsletter Numbers 1-37
365,Di Prima Diane Introduction,Going Out For Coffee On A Windy Night
366,Di Prima Diane,Kerhonkson Journal 1966
367,Di Prima Diane,Memoirs of a Beatnik
368,Di Prima Diane,Poetry Deal
369,Di Prima Diane,Pieces of a Song
370,Di Prima Diane,Recollections of My Life as a Woman: The New York Years
371,Di Prima Diane,Revolutionary Letters
372,Dillon Millicent,A Little Original Sin: The Life And Work Of Jane Bowles
373,Dillon Millicent,You Are Not I: A Portrait Of Paul Bowles
374,DiSanto Ronald L. & Steele Thomas J.,Guidebook to Zen and the Art of Motorcycle Maintenance
375,Dittman Michael J.,Jack Kerouac : A Biography
376,Dodgson Rick,Its All Kind Of Magic: The Young Ken Kesey
377,Dorfner John J.,Kerouac: Visions of Lowell
378,Dorn Edward,By The Sound
379,Dorn Edward,Edward Dorn: Collected Poems
380,Dorn Edward,North Atlantic Turbine
381,Dostoevsky Fyodor,Notes From the Underground
382,Dowden George,Bibliography of the Works of Allen Ginsberg : October 1943 to July 1 1967
383,Drohajowska-Philp,Rebels In Paradise: The Los Angeles Art Scene And The 1960s
384,du Maurier Daphne ed.,Young George du Maurier: Letters 1860-1867
385,Du Maurier George,Trilby
386,Du Maurier George,Trilby
387,Duberman Martin,Visions of Kerouac
388,Dullaghan John dir.,Bukowski Born Into This
389,Dunn Patrick W.,Allen Ginsbergs Oral Poetry: Performance Spontaneity And The Embodiment Of The Breath
390,Durrell Lawrence,Balthazar
391,Durrell Lawrence,Durrell-Miller Letters 1935-1980
392,Duxler Margot Beth,Seduction: A Portrait Of Anaïs Nin
393,Eastman Max,Art And The Life Of Action With Other Essays
394,Eastman Max,Enjoyment of Poetry
395,Eastman Max,Great Companions
396,Eastman Max,Literary Mind
397,Easton Malcolm,Artists and Writers in Paris: The Bohemian Idea 1805-1867
398,Edington Stephen D.,Beat Face of God : Beat Generation Writers as Spirit Guides
399,Eleveld Mark ed,Spoken Word Revolution : Slam Hip Hop and the Poetry of a New Generation
400,Elkholy Sharin N. ed.,Philosophy Of The Beats
401,Ellingham Lewis and Killian Kevin,Poet Be Like God: Jack Spicer And The San Francisco Renaissance
402,Enlightenment,Beat Generation Boxed
403,Evans Mike,Beats: From Kerouac to Kesey an Illustrated Journey Through the Beat Generation
404,Evans Oliver,Anaïs Nin
405,Everson William,Archetype West: The Pacific Coast As A Literary Region
406,Everson William,Crooked Lines Of God: Poems 1949-1954
407,Everson William,Engendering Flood: Book One of Dust Shall be the Serpents Fool (Cantos I-IV)
408,Everson William,Man-Fate: The Swan Song Of Brother Antonius
409,Everson William,Man-Fate: The Swan Song Of Brother Antonius
410,Everson William,Prodigious Thrust
411,Everson William,River-Root: A Syzygy
412,Everson William,Residual Years
413,Everson William,Single Source: The Early Poems Of William Everson [1934-1940]
414,Everson William,Veritable Years: Poems 1949-1966 Volume II Of The Collected Poems)
415,Noyes: Paper,NULL
416,Everson William,William Everson: a collection of books & manuscripts
417,Faas Ekbert,Robert Creeley: A Biography
418,Fagen Donald,Eminent Hipsters
419,Falk Jane E.,The Beat Avant-Garde The 1950s And The Popularizing Of Zen Buddhism In The United States
420,Fariña Richard,Been Down So Long It Looks Like Up To Me
421,Fariña Richard and Fariña Mimi,Best Of Mimi & Richard Fariña
422,Fariña Richard,Long Time Coming And A Long Time Come
423,Federal Bureau Of Investigation,Henry Charles Bukowski File: 140-35907
424,Federal Bureau Of Investigation,Miller Henry File #14-HQ-2578
425,Feldman Gene ed.,The Beat Generation & The Angry Young Men
426,Felver Christopher,Beat
427,Felver Christopher,Ferlinghetti: A Rebirth Of Wonder
428,Felver Christopher,Ferlinghetti Portrait
429,Felver Christopher,Late Great Allen Ginsberg: a Photo Biography
430,Ferguson Robert,Henry Miller: A Life
431,Ferlinghetti Lawrence,After the Cries of the Birds
432,Ferlinghetti Lawrence,Americus Book I
433,Ferlinghetti Lawrence,Blasts Cries Laughter
434,Ferlinghetti Lawrence editor,City Lights Pocket Poets Anthology
435,Ferlinghetti Lawrence editor,City Lights Pocket Poets Anthology: 60th Anniversary 
436,Ferlinghetti Lawrence,Coney Island Of Lawrence Ferlinghetti
437,Ferlinghetti Lawrence,Coney Island of the Mind
438,Ferlinghetti Lawrence,Coney Island of the Mind
439,Ferlinghetti Lawrence,Coney Island of the Mind 50th Anniversary 
440,Ferlinghetti Lawrence,Cool Eye: Lawrence Ferlinghetti Talks To Alexis Lykiard
441,Ferlinghetti Lawrence,Endless Life: Selected Poems
442,Ferlinghetti Lawrence ed,Ends & Beginnings
443,Ferlinghetti Lawrence,European Poems & Translations: Over All Obscene Boundaries
444,Ferlinghetti Lawrence,Far Rockaway of the Heart
445,Ferlinghetti Lawrence,Her
446,Ferlinghetti Lawrence,How to Paint Sunlight: Lyric Poems & Others (1997-2000)
447,Ferlinghetti Lawrence,Howl Of The Censor
448,Ferlinghetti Lawrence and Ginsberg Allen,I Greet You At The Beginning Of A Great Career: The Selected Correspondence Of Lawrence Ferlinghetti And Allen Ginsberg 
449,Ferlinghetti Lawrence,Inside the Trojan Horse
450,Ferlinghetti Lawrence,Landscapes of Living & Dying
451,Ferlinghetti Lawrence,Leaves Of Life; Fifty Drawings From The Model
452,Ferlinghetti Lawrence,Life Studies Life Stories : Drawings
453,Ferlinghetti Lawrence and Peters Nancy J.,Literary San Francisco
454,Ferlinghetti Lawrence.,Love in the Days of Rage
455,Ferlinghetti Lawrence,Mexican night; travel journal by Ferlinghetti
456,Ferlinghetti Lawrence,Moscow In The Wilderness Segovia In The Snow
457,Ferlinghetti Lawrence,Northwest Ecolog
458,Ferlinghetti Lawrence,One Thousand Fearful Words For Fidel Castro
459,Ferlinghetti Lawrence,Open Eye Open Heart
460,Ferlinghetti Lawrence,Over All Obscene Boundaries: European Poems & Translations
461,Ferlinghetti Lawrence,Pictures of the Gone World
462,Ferlinghetti Lawrence,Pictures of the Gone World
463,Ferlinghetti Lawrence,Poem for the Olympic Runners
464,Ferlinghetti Lawrence,Poesie Vecchie & Nuove
465,Ferlinghetti Lawrence,Poetry as Insurgent Art
466,Ferlinghetti Lawrence,Populist Manifestos
467,Ferlinghetti Lawrence,Routines
468,Ferlinghetti Lawrence,San Francisco Poems
469,Ferlinghetti Lawrence,Secret Meaning of Things
470,Ferlinghetti Lawrence,Seven Days in Nicaragua Libre
471,Ferlinghetti Lawrence,Seven Days in Nicaragua Libre
472,Ferlinghetti Lawrence,Starting in San Francisco
473,Ferlinghetti Lawrence,Tentative Description Of A Dinner Given To Promote The Impeachment Of President Eisenhower    
474,Ferlinghetti Lawrence,These Are My Rivers: New & Selected Poems 1955-1993
475,Ferlinghetti Lawrence,Time Of Useful Consciousness
476,Ferlinghetti Lawrence,Tryannus Nix?
477,Ferlinghetti Lawrence,Unfair Arguments With Exitence; seven plays for a new theatre
478,Ferlinghetti Lawrence,What is Poetry?
479,Ferlinghetti Lawrence,What Is Poetry?
480,Ferlinghetti Lawrence,When I Look At Pictures
481,Ferlinghetti Lawrence,Who Are We Now?
482,Ferlinghetti Lawrence,Wild Dreams of a New Beginning
483,Ferlinghetti Lawrence,Writing Across The Landscape: Travel Journals 1960-2010
484,Fink Larry,Beats
485,Fitch Noel Riley,Erotic Life of Anais Nin
486,Ford Hugh,Published in Paris: A Literary Chronicle
487,Ford James L.,Bohemia Invaded
488,Call. No.: PS1689.F8 B6 1895,NULL
489,Forte Robert editor,Timothy Leary: Outside Looking In
490,Foster Edward Halsey,Understanding the Beats
491,Fosdick Gertrude Christian,Out of Bohemia: A Study of Paris Student Life (1894)
492,Franck Dan,Bohemian Paris: Picassp Modigliani Matisse And The Birth Of Modern Art
493,Franklin Benjamin V ed.,Recollections of Anais Nin by her Contemporaries
494,Frees Paul,Beatniks
495,French Warren,San Francisco Poetry Renaissance: 1955-1960
496,Fritz James,Beat Killer
497,Gage Maura,Identity Masculinity Femininity In The Poetry Of Gary Snyder
498,Gair Christopher,Beat Generation: A Beginners Guide
499,Garcia-Robles Jorge,At The End Of The Road: Jack Kerouac In Mexico
500,Garcia-Robles Jorge,Stray Bullet: William S. Burroughs In Mexico
501,Gautier Theophile,Selected Lyrics
502,Pub;isher: Yale University Press,NULL
503,Gautier Theophile,Mademoiselle De Maupin
504,George-Warren Holly ed.,Rolling Stone Book of the Beats: the Beat Generation and American Culture
505,Gewitz Isaac,Beatific Soul : Jack Kerouac on the Road
506,Gewitz Isaac,Kerouac at bat : fantasy sports and the king of the beats
507,Giacosa Giuseppe & Illica Luigi,La  Bohème (Libretto in English)
508,Giamo Ben,Kerouac the Word and the Way : Prose Artist as Spiritual Questor
509,Gibson Morgan,Kenneth Rexroth
510,Gifford Barry,Elegies
511,Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac
512,Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac
513,Gifford Barry,Jacks Book: Oral Biography of Jack Kerouac
514,Gifford Barry,Kerouacs Town
515,Gilmore Mikal,Allen Ginsberg1926-1997
516,Gilmore Mikal,Stories Done: Writings On The 1960s And Its Discontents
517,Ginsberg Allen,Airplane Dreams : Compositions from Journals
518,Ginsberg Allen,Allen Ginsberg (Voice Of The Poet Series)
519,Ginsberg Allen,Allen Ginsberg Audio Collection
520,Ginsberg Allen,Allen Ginsberg Photographs
521,Ginsberg Allen,Allen Verbatim: Lectures on Poetry Politics Consciousness
522,Ginsberg Allen,Ankor Wat
523,Ginsberg Allen,Book of Martyrdom and Artifice : First Journals and Poems : 1937-1952
524,Ginsberg Allen,Collected Poems: 1947-1980
525,Ginsberg Allen,Collected Poems: 1947-1997
526,Ginsberg Allen,Composed on the Tongue
527,Ginsberg Allen,Cosmopolitan Greetings Poems 1986-1992
528,Ginsberg Allen,Death & Fame: Last Poems 1993-1997
529,Ginsberg Allen,Deliberate Prose: Selected Essays 1952-1995
530,Ginsberg Allen,Dont Fuck Up Your Revolution
531,Ginsberg Allen,Empty Mirror : Early Poems by Allen Ginsberg
532,Ginsberg Allen,Fall of America: Poems of These States 1965-1971
533,Ginsberg Allen,Family Business: Slected Letters Between a Father and Son
534,Ginsberg Allen,First Blues
535,Ginsberg Allen,Gates Of Wrath
536,Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 1: Moloch!
537,Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 2: Caw! Caw!
538,Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 3: Ah!
539,Ginsberg Allen,Holy Soul Jelly Roll: Poems & Songs 1949-1993 Vol 4: Ashes & Blues
540,Ginsberg Allen,Howl: A Graphic Novel
541,Ginsberg Allen,Howl and Other Poems
542,Ginsberg Allen,Howl and Other Poems
543,Ginsberg Allen,Howl: Original Draft Facsimilie...
544,Ginsberg Allen,Howl: Original Draft Facsimilie...
545,Ginsberg Allen,Illuminated Poems
546,Ginsberg Allen,Indian Journals March 1962-May 1963: notebooks diary blank pages writings
547,Ginsberg Allen,Iron Horse
548,Ginsberg Allen,Journals Mid-Fifties 1954-1958
549,Ginsberg Allen,Journals: Early Fifties Early Sixties
550,Ginsberg Allen,Journals: Early Fifties Early Sixties
551,Ginsberg Allen,Kaddish and Other Poems 1958-1960
552,Ginsberg Allen,Letters of Allen Ginsberg
553,Ginsberg Allen,Lion For Real
554,Ginsberg Allen,Mind Breaths: Poems 1972-1977
555,Ginsberg Allen,No More To Say & Nothing To Weep For: An Elegy For Allen Ginsberg
556,Ginsberg Allen,Planet News 1961-1967
557,Ginsberg Allen,Plutonian Ode and Other Poems: 1977-1980
558,Ginsberg Allen editor,Poems For The Nation: A Collection Of Contemporary Political Poems
559,Ginsberg Allen,Reality Sandwiches
560,Ginsberg Allen,Selected Letters of Allen Ginsberg and Gary Snyder
561,Publ;isher: Counterpoint,NULL
562,Ginsberg Allen,Selected Poems: 1947-1995
563,Ginsberg Allen,Snapshot Poetics: A Photographic Memoir of the Beat Era
564,Ginsberg Allen,Spontaneous Mind: Selected Interviews 1958-1996
565,Ginsberg Allen,To Eberhart from Ginsberg : a letter about Howl 1956...
566,Ginsberg Allen,Wait Till Im Dead: Uncollected Poems
567,Ginsberg Allen,White Shroud: Poems 1980-1985
568,Ginsberg Allen,Wichita Vortex Sutra
569,Ginsberg Allen,Your Reason & Blakes System
570,Gioia Ted,Birth And Death Of The Cool
571,Girodias Maurice,Frog Prince: An Autobiography
572,Girodias Maurice editor,New Olympia Reader
573,Girodias Maurice editor,Olympia Reader: selections from the Travellerâ€™s companion series
574,Girodias Maurice editor,Olympia Reader
575,Glass Loren,Grove Press The Evergreen Review And The Incorporation Of The Avant-Garde: Counter-Culture Colophon
576,Glass Philip,Words Without Music: A Memoir
577,Glassco John,Memoirs Of Montparnesse
578,Gluck Mary,Popular Bohemia: Modernism And Urban Culture In Nineteenth Century Paris
579,Goeman James Robert III,Happiness Is A Bi-Product Of Function: William Burroughs And The American Pragmatist Tradition
580,Goffman Ken,Counterculture Through The Ages: From Abraham To Acid House
581,Gold Herbert,Bohemia: Where Art Angst Love and Stron
582,Goldman Albert,Ladies and Gentlemen Lenny Bruce!!
583,Goldstein Lawrence M.,Changing Of The Guard: The Beat Journey From Rejection To Celebration
584,Goncourt Edmond & Jules,Goncourt Journals 1851-1870
585,Publicher: Doubleday Doran & Co.,NULL
586,Gonnerman Mark editor,A Sense Of The Whole: Reading Gary Snyders Mountains And Rivers Without End
587,Gooch Brad,City Poet: Life and Times of Frank OHara
588,Goodman Michael,William S. Burroughs: An Annotated Bibliography Of His Works And Criticism
589,Gordon William A.,Henry Miller And The Romantic Tradition
590,Gordon William A.,Mind and Art of Henry Miller
591,Gordon William A.,Writer And Critic: A Correspondence With Henry Miller
592,Gottesman Ronald ed.,Critical Essays on Henry Miller
593,Gottschall Claudia,Unspeakable Visions: Beat Consciousness And The Textual Representation
594,Govenar Alan,Beat Hotel
595,Goyen William,Three Women : A Memoir By William Goyen
596,Grace Nancy M.,Jack Kerouac and the Literary Imangination
597,Graff Jeffrey David,Mother As Muse: A Psychoanalytic Reading Of The Cathartic Works Of Kerouac Ginsberg And Corso
598,Gray Timothy,Gary Snyder and the Pacific Rim : Creating Counter-Cultural Community
599,Gray Timothy George,New Lyric Worlds: Gary Snyders Pacific Rim Communitas: 1930-1970
600,Graña César,Bohemian Versus Bourgeois: French Society and the French Man of Letters in the Nineteenth Century
601,Graña César & Marigay ed.,On Bohemia: The Code of the Self-Exiled
602,Grant Richard B.,Theophile Gautier
603,Grauerholz James editor,Last Words: The Final Journals of William S. Burroughs November 1996 - July 1997
604,Green Jane,Jay DeFeo And The Rose
605,Green Michelle,Dream At The End Of The World: Paul Bowles And The Literary Renegades In Tangier
606,Greenfield Robert,Timothy Leary: A Biography
607,Greenough Sarah,Beat Memories : the Photographs of Allen Ginsberg
608,Gruen John,New Bohemia;  the combine generation.
609,Gruen John,New Bohemia
610,Guthrie Hammond,AsEverWas: Memoirs Of A Beat Survivor
611,Gysin Brion,Flicker
612,Gysin Brion,Last Museum
613,Gysin Brion,Here to Go: Planet R-101
614,Gysin Brion,Process (The)
615,Hackman William,Out Of Sight: The Los Angees Art Scene Of The Sixties
616,Hahn Emily,Mabel: Biography of Mabel Dodge Luhan
617,Hahn Emily,Romantic Rebels: Informal History of Bohemianism in America
618,Hajdu David,Positively 4th Street: Lives And Times Of Joan Baez Bob Dylan Mimi Baez Fariña And Richard Fariña
619,Aurhor: Halasz Judith Rachel,Bohemian Ethos: Questioning Work And Making A Scene On The Lower East Side
620,Halasz Judith Rachel,Questioning Work Making A Scene: Bohemian Life On The Lower East Side Of New York City
621,Halper Jon editor,Gary Snyder: Dimensions Of A Life
622,Hamalian Linda,Life of Kenneth Rexroth
623,Hansen Arlen J.,Expatriate Paris: Cultural and Literary
624,Hanson Lawrence & Elizabeth,Verlaine: Fool of God
625,Hare Kenneth,Londons Latin Quarter
626,Harris Oliver,William Burroughs and the Secret of Fascination
627,Harris Russell,Against The American Dream: Essays On Charles Bukowski
628,Hart James D. ed.,A novelist in the making; a collection of student themes and the novels Blix and Vandover and the brute
629,Hayes Kevin J ed.,Conversations with Jack Kerouac
630,Heath Josepg and Andrew Potter,Nation Of Rebels: Why Counterculture Became Consumer Culture
631,Hecht Ben,Letters from Bohemia
632,Heims Neil,Allen Ginsberg
633,Hell Richard,Go Now
634,Hemingway Ernest,Moveable Feast
635,Hemingway Ernest,On Paris
636,Hemmer Kurt editor,Encyclopedia Of Beat Literature
637,Hernandez Tim Z.,Mañana Means Heaven
638,Herring Phillip F.,Djuna: the Life and Work of Djuna Barnes
639,Hickey Morgen,THE BOHEMIAN REGISTER: An Annotated Bibliography of the Beat Literary Movement
640,Hicklin Aaron ed.,The Revolution Will Be Accessorized
641,Hipkiss Robert A.,Jack Kerouac : Prophet Of The New Romanticism
